代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率,概念
000032,深桑达A,33.06,2.26,0.73,0.0,3.82,0.54,4.89,8.08亿,6.45亿,213.16亿,--,"数据确权,国企改革,央企国企改革,信创,方舱医院,国资云,数据安全,绿色电力,元宇宙,碳中和,数据中心,安防,数字乡村,智慧政务,国产操作系统,数字孪生,柔性屏,智能交通,深股通,体育产业,高铁,粤港澳大湾区,融资融券,大数据,智慧城市,节能照明,数字经济"
000034,神州数码,31.49,4.17,1.26,0.0,9.1,1.01,7.77,15.28亿,5.49亿,172.80亿,20.97,"ChatGPT概念,信创,华为鲲鹏,东数西算（算力）,年报预增,网络安全,云计算,标普道琼斯A股,数字孪生,边缘计算,区块链,深股通,阿里巴巴概念,华为概念,融资融券,物联网"
000035,中国天楹,5.15,0.39,0.02,0.0,0.54,0.55,1.36,0.68亿,24.53亿,126.35亿,77.52,"生物质能发电,储能,机器人概念,节能环保,垃圾分类,医疗废物处理,标普道琼斯A股,人工智能,深股通,融资融券,固废处理"
000036,华联控股,3.83,-0.26,-0.01,0.0,0.21,0.46,1.04,0.12亿,14.80亿,56.67亿,59.09,"物业管理,标普道琼斯A股,深股通,融资融券"
000037,深南电A,7.7,1.99,0.15,0.13,0.88,0.87,1.99,0.23亿,3.39亿,26.09亿,--,"储能,节能环保,粤港澳大湾区,固废处理,核电"
000038,*ST大通,4.11,0.73,0.03,0.24,1.77,0.5,2.94,0.18亿,2.51亿,10.30亿,12.13,"抖音概念,区块链,人工智能,工业大麻,ST板块,文化传媒"
000039,中集集团,7.61,2.84,0.21,0.26,1.45,2.11,3.38,2.52亿,23.01亿,175.14亿,12.75,"天然气,氢能源,海工装备,标普道琼斯A股,分拆上市意愿,雄安新区,可燃冰,深股通,粤港澳大湾区,冷链物流,航运概念,融资融券,高端装备,风电,物联网,参股券商"
000040,东旭蓝天,3.91,0.26,0.01,0.0,1.17,0.65,1.03,0.48亿,10.60亿,41.46亿,--,"TOPCON电池,粮食概念,绿色电力,储能,光伏建筑一体化,节能环保,标普道琼斯A股,区块链,深股通,PPP概念,粤港澳大湾区,华为概念,光伏概念,融资融券,乡村振兴,固废处理"
000042,中洲控股,8.03,0.0,0.0,0.0,0.3,0.57,0.87,0.16亿,6.64亿,53.32亿,13.85,"标普道琼斯A股,深股通,粤港澳大湾区,融资融券"
000045,深纺织A,10.77,-4.1,-0.46,-0.09,3.25,1.68,3.56,1.61亿,4.57亿,49.22亿,72.35,"国企改革,深圳国企改革,OLED,物业管理,超清视频,虚拟现实"
000046,泛海控股,1.05,0.0,0.0,0.0,0.66,0.77,1.91,0.36亿,51.94亿,54.54亿,--,"期货概念,物业管理,参股保险,标普道琼斯A股,宁德时代概念,蚂蚁金服概念,深股通,信托概念,一带一路,融资融券,土地流转,参股券商"
000048,京基智农,23.16,4.8,1.06,0.26,2.72,2.82,9.96,3.31亿,5.23亿,121.18亿,15.68,"年报预增,猪肉,养鸡,深股通,融资融券"
000049,德赛电池,43.38,-0.87,-0.38,0.09,1.68,0.52,2.15,2.20亿,2.99亿,129.83亿,16.08,"国企改革,恒大概念,储能,消费电子概念,无线耳机,标普道琼斯A股,深股通,华为概念,小米概念,智能穿戴,融资融券,5G,锂电池,物联网,苹果概念,新能源汽车"
