代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率,概念
000859,国风新材,5.89,0.34,0.02,0.0,0.7,0.59,1.36,0.37亿,8.96亿,52.77亿,22.97,"国企改革,新材料概念,光刻胶,装配式建筑,柔性屏,深股通,融资融券,新能源汽车"
000860,顺鑫农业,35.5,2.66,0.92,0.17,1.97,1.15,5.67,5.21亿,7.42亿,263.33亿,--,"国企改革,猪肉,标普道琼斯A股,MSCI概念,深股通,白酒概念,融资融券"
000861,海印股份,2.17,1.4,0.03,0.0,0.54,0.61,1.4,0.27亿,23.68亿,51.39亿,50.02,"网络直播,互联网金融,物业管理,免税店,标普道琼斯A股,新零售,动力电池回收,深股通,广东自贸区,融资融券,充电桩,新能源汽车"
000862,银星能源,6.62,0.46,0.03,0.15,3.87,0.35,1.82,1.27亿,5.01亿,33.19亿,37.13,"国企改革,央企国企改革,年报预增,绿色电力,光伏概念,风电"
000863,三湘印象,4.14,0.98,0.04,0.0,1.25,0.58,1.46,0.61亿,11.86亿,49.10亿,--,"Web3.0,元宇宙,光伏建筑一体化,智能家居,长三角一体化,租售同权,节能环保,物业管理,人工智能,虚拟现实,深股通,一带一路,融资融券,文化传媒,创投,数字经济"
000868,安凯客车,5.77,0.17,0.01,0.17,1.71,0.88,2.95,0.73亿,7.33亿,42.31亿,--,"国企改革,华为汽车,燃料电池,PPP概念,华为概念,无人驾驶,融资融券,锂电池,新能源汽车"
000869,张裕A,32.6,1.43,0.46,0.12,0.5,1.48,1.96,0.73亿,4.53亿,147.83亿,38.59,"国企改革,标普道琼斯A股,超级品牌,深股通,融资融券"
000875,吉电股份,5.56,0.18,0.01,0.0,0.54,0.84,0.9,0.73亿,24.46亿,135.98亿,14.16,"国企改革,央企国企改革,绿色电力,抽水蓄能,储能,REITs概念,氢能源,标普道琼斯A股,燃料电池,深股通,PPP概念,华为概念,光伏概念,融资融券,充电桩,风电"
000876,新希望,13.23,2.88,0.37,0.08,1.67,4.02,5.05,9.90亿,45.02亿,595.64亿,--,"证金持股,预制菜,猪肉,标普道琼斯A股,养鸡,MSCI概念,深股通,农村电商,参股银行,融资融券,乡村振兴"
000877,天山股份,8.86,0.23,0.02,0.0,0.98,0.66,1.02,0.77亿,8.80亿,77.98亿,16.90,"国企改革,央企国企改革,绿色电力,标普道琼斯A股,水泥概念,深股通,一带一路,融资融券,新疆振兴"
000878,云南铜业,12.89,0.31,0.04,0.0,0.89,0.71,1.48,1.96亿,17.00亿,219.08亿,13.07,"国企改革,央企国企改革,年报预增,期货概念,标普道琼斯A股,深股通,金属铜,融资融券,稀缺资源,黄金概念"
000880,潍柴重机,10.32,2.99,0.3,-0.1,1.91,1.35,2.99,0.32亿,1.62亿,16.74亿,24.29,"国企改革,海工装备"
000881,中广核技,8.13,0.62,0.05,0.0,0.36,0.54,1.11,0.23亿,7.76亿,63.09亿,27.29,"抗病毒面料,国企改革,央企国企改革,幽门螺杆菌概念,新材料概念,可降解塑料,大飞机,医疗废物处理,标普道琼斯A股,雄安新区,深股通,医疗器械概念,一带一路,5G,乡村振兴,中字头股票,污水处理,核电"
000882,华联股份,1.74,0.58,0.01,-0.57,0.57,1.4,1.73,0.27亿,27.37亿,47.63亿,--,"网络直播,互联网金融,物业管理,标普道琼斯A股,新零售,文化传媒,京津冀一体化,横琴新区"
000883,湖北能源,4.23,0.0,0.0,0.0,0.14,0.59,0.71,0.39亿,65.06亿,275.19亿,11.35,"证金持股,国企改革,央企国企改革,超超临界发电,绿色电力,抽水蓄能,天然气,标普道琼斯A股,MSCI概念,深股通,光伏概念,融资融券,风电,页岩气,参股券商"
000885,城发环境,10.96,1.76,0.19,0.0,1.07,0.7,2.6,0.75亿,6.42亿,70.37亿,6.35,"国企改革,生物质能发电,绿色电力,碳中和,碳交易,节能环保,垃圾分类,深股通,融资融券,固废处理,污水处理"
000886,海南高速,5.48,6.0,0.31,0.18,4.59,3.41,6.77,2.43亿,9.76亿,53.46亿,31.45,"国企改革,年报预增,海南自贸区,免税店,债转股(AMC概念),军工"
000887,中鼎股份,12.71,0.24,0.03,0.08,0.89,0.88,1.5,1.49亿,13.14亿,166.98亿,16.72,"汽车热管理,特斯拉,标普道琼斯A股,宁德时代概念,燃料电池,深股通,高铁,医疗器械概念,汽车电子,融资融券,无人机,充电桩,军工,新能源汽车"
000888,峨眉山A,9.08,0.11,0.01,0.0,3.05,1.09,1.65,1.46亿,5.27亿,47.84亿,--,"国企改革,NFT概念,在线旅游,智慧政务,大数据"
000889,ST中嘉,1.95,1.04,0.02,0.0,1.23,0.34,2.59,0.21亿,8.70亿,16.96亿,--,"东数西算（算力）,互联网金融,标普道琼斯A股,区块链,华为概念,ST板块,5G,大数据"
000890,法尔胜,5.22,-1.32,-0.07,-0.19,7.86,0.59,3.59,1.72亿,4.20亿,21.90亿,--,"节能环保,独角兽概念"
000892,欢瑞世纪,4.57,4.58,0.2,0.0,5.92,1.11,5.26,1.89亿,7.11亿,32.49亿,38.76,"抖音概念,网络直播,文化传媒,电子商务"
000893,亚钾国际,27.33,-0.04,-0.01,-0.04,0.54,0.72,1.21,1.20亿,8.10亿,221.33亿,12.54,"年报预增,供销社,人民币贬值受益,深股通,化肥,融资融券"
000895,双汇发展,25.94,0.97,0.25,0.12,0.36,1.53,1.64,3.20亿,34.64亿,898.59亿,15.99,"证金持股,预制菜,猪肉,标普道琼斯A股,人造肉,养鸡,超级品牌,MSCI概念,深股通,融资融券"
000897,津滨发展,2.26,1.8,0.04,-0.44,1.23,1.7,2.25,0.45亿,16.17亿,36.55亿,13.89,"国企改革,雄安新区,天津自贸区"
000898,鞍钢股份,2.97,1.36,0.04,0.34,0.42,1.25,2.39,0.99亿,79.41亿,235.85亿,178.98,"证金持股,国企改革,央企国企改革,特钢概念,标普道琼斯A股,深股通,融资融券"
000899,赣能股份,8.45,0.59,0.05,0.0,0.62,0.9,1.67,0.51亿,9.76亿,82.44亿,38.72,"国企改革,超超临界发电,绿色电力,储能,深股通,光伏概念,融资融券,核电"
000900,现代投资,4.27,1.43,0.06,0.47,0.5,0.98,2.38,0.32亿,15.18亿,64.81亿,10.78,"国企改革,预制菜,期货概念,REITs概念,举牌,垃圾分类,医疗废物处理,标普道琼斯A股,深股通,参股银行,融资融券,充电桩,固废处理,参股券商"
000901,航天科技,9.94,-0.8,-0.08,0.1,1.9,0.76,2.0,1.51亿,7.98亿,79.34亿,272.09,"国企改革,央企国企改革,中俄贸易概念,俄乌冲突概念,传感器,军民融合,车联网,工业互联网,标普道琼斯A股,黑龙江自贸区,深股通,汽车电子,一带一路,无人驾驶,融资融券,无人机,卫星导航,物联网,智能电网,军工"
000902,新洋丰,10.74,1.23,0.13,0.0,0.5,0.5,1.98,0.63亿,11.85亿,127.32亿,8.75,"生态农业,数字乡村,标普道琼斯A股,深股通,农村电商,化肥,融资融券,乡村振兴,电子商务,氟化工概念,磷化工"
000903,云内动力,2.54,0.4,0.01,0.0,0.31,0.83,1.19,0.15亿,19.20亿,48.77亿,--,"国企改革,农机,氢能源,燃料电池,汽车电子,人脸识别,融资融券,乡村振兴,充电桩,移动支付,新能源汽车"
000905,厦门港务,7.21,0.56,0.04,-0.28,0.83,0.69,1.25,0.44亿,7.42亿,53.48亿,21.72,"国企改革,统一大市场,自由贸易港,深股通,跨境电商,一带一路,福建自贸区,融资融券,海峡两岸"
000906,浙商中拓,9.07,0.22,0.02,-0.11,0.65,0.83,1.44,0.40亿,6.83亿,61.91亿,6.22,"国企改革,中俄贸易概念,储能,深股通,电子商务"
000908,景峰医药,3.01,1.69,0.05,0.0,0.92,0.77,2.03,0.22亿,7.82亿,23.54亿,--,"创新药,仿制药一致性评价,基因测序,健康中国,医美概念,消毒剂,债转股(AMC概念),互联网医疗,医疗器械概念,眼科医疗,生物医药"
000909,数源科技,9.61,0.84,0.08,0.0,2.37,0.45,2.73,0.88亿,3.87亿,37.23亿,351.70,"国企改革,换电概念,元宇宙,共同富裕示范区,消费电子概念,ETC,智慧政务,车联网,云办公,超清视频,杭州亚运会,智能交通,无人驾驶,融资融券,5G,充电桩,智慧城市,物联网"
000910,大亚圣象,9.19,0.33,0.03,0.0,1.05,0.82,2.18,0.53亿,5.47亿,50.28亿,11.97,"标普道琼斯A股,融资融券"
000911,南宁糖业,9.23,10.01,0.84,0.0,11.73,4.38,7.27,3.46亿,3.24亿,29.91亿,--,"国企改革,口罩,土地流转"
000912,泸天化,4.73,0.42,0.02,-0.21,0.37,0.77,1.27,0.27亿,15.68亿,74.17亿,20.19,"国企改革,煤化工,深股通,化肥,融资融券"
000913,钱江摩托,23.37,-1.31,-0.31,0.0,1.49,0.84,4.31,1.60亿,4.54亿,105.99亿,22.52,"年报预增,两轮车,深股通,融资融券,锂电池,创投,新能源汽车"
000915,华特达因,36.21,-0.17,-0.06,0.0,1.58,1.18,2.43,1.35亿,2.34亿,84.81亿,16.11,"蒙脱石散,国企改革,消毒剂,深股通,融资融券,三胎概念,生物医药,污水处理,流感"
000917,电广传媒,6.12,3.38,0.2,0.0,1.14,0.72,3.72,0.97亿,14.17亿,86.74亿,77.79,"国企改革,智能家居,在线旅游,深股通,华为概念,互联网彩票,融资融券,文化传媒,世界杯,物联网,参股新三板,网络游戏,创投"
000918,嘉凯城,1.88,-0.53,-0.01,0.54,0.82,0.49,1.59,0.28亿,18.04亿,33.92亿,--,"恒大概念,REITs概念,新型城镇化,标普道琼斯A股,融资融券,文化传媒,金改"
000919,金陵药业,7.76,2.92,0.22,0.13,2.09,0.92,3.32,0.81亿,5.04亿,39.07亿,37.67,"国企改革,高压氧舱,民营医院,医美概念,互联网医疗,医疗器械概念,养老概念,创投"
000920,沃顿科技,9.27,1.09,0.1,0.0,0.59,0.71,1.64,0.23亿,4.22亿,39.12亿,30.75,"国企改革,央企国企改革,新材料概念,盐湖提锂,净水概念,污水处理"
000921,海信家电,20.95,3.1,0.63,0.0,1.63,2.25,4.92,3.05亿,9.03亿,189.14亿,19.90,"空气能热泵,汽车热管理,标普道琼斯A股,深股通,融资融券,家用电器,世界杯,电子商务,新能源汽车"
000922,佳电股份,11.49,-1.2,-0.14,0.0,1.69,0.71,2.49,1.14亿,5.85亿,67.23亿,19.52,"国企改革,央企国企改革,年报预增,机器人概念,黑龙江自贸区,深股通,融资融券,风电,军工,核电,新能源汽车"
000923,河钢资源,14.52,2.62,0.37,0.07,1.22,1.15,4.66,1.11亿,6.28亿,91.17亿,17.20,"国企改革,雄安新区,深股通,金属铜,京津冀一体化"
000925,众合科技,8.78,1.04,0.09,0.0,3.15,0.75,2.76,1.50亿,5.47亿,48.06亿,83.03,"时空大数据,数字水印,数据确权,信创,东数西算（算力）,虚拟数字人,元宇宙,共同富裕示范区,数据中心,机器人概念,智慧政务,工业互联网,数字孪生,人工智能,杭州亚运会,智能交通,集成电路概念,高铁,华为概念,芯片概念,大数据,智慧城市,数字经济"
000926,福星股份,4.22,2.18,0.09,0.0,1.39,1.64,2.18,0.55亿,9.35亿,39.46亿,38.17,"新型城镇化,装配式建筑,标普道琼斯A股,融资融券"
000927,中国铁物,2.84,0.71,0.02,0.35,0.87,0.88,1.77,1.10亿,44.60亿,126.68亿,24.68,"国企改革,央企国企改革,统一大市场,水泥概念,深股通,一带一路,融资融券,充电桩,中字头股票,新能源汽车"
000928,中钢国际,7.51,0.81,0.06,0.0,1.49,0.56,2.15,1.43亿,12.81亿,96.21亿,15.49,"国企改革,央企国企改革,超超临界发电,碳中和,3D打印,工业4.0,节能环保,医疗废物处理,标普道琼斯A股,深股通,口罩,一带一路,融资融券,中字头股票"
000929,兰州黄河,10.48,1.16,0.12,0.1,4.87,1.38,3.38,0.95亿,1.86亿,19.47亿,--,"壳资源,啤酒概念,污水处理"
000930,中粮科技,8.48,0.24,0.02,0.0,0.51,0.75,1.77,0.81亿,18.56亿,157.43亿,12.29,"国企改革,央企国企改革,生态农业,节能环保,代糖概念,可降解塑料,标普道琼斯A股,燃料乙醇,深股通,白酒概念,融资融券,中字头股票"
000931,中关村,6.23,1.14,0.07,0.16,0.49,1.0,1.62,0.23亿,7.46亿,46.49亿,267.38,"蒙脱石散,创新药,北交所概念,健康中国,雄安新区,养老概念,融资融券,生物医药,参股新三板,京津冀一体化,创投"
000932,华菱钢铁,5.57,2.58,0.14,0.18,1.27,1.1,3.13,4.05亿,57.18亿,318.50亿,6.03,"国企改革,智能制造,特钢概念,标普道琼斯A股,MSCI概念,深股通,融资融券,军工,核电"
000933,神火股份,17.72,-2.21,-0.4,0.0,1.25,0.75,2.98,4.96亿,22.31亿,395.42亿,5.27,"国企改革,俄乌冲突概念,年报预增,煤炭概念,标普道琼斯A股,宁德时代概念,深股通,融资融券"
000935,四川双马,21.47,0.8,0.17,-0.09,0.35,0.87,2.68,0.57亿,7.63亿,163.91亿,16.06,"职业教育,标普道琼斯A股,水泥概念,深股通,融资融券,创投"
000936,华西股份,7.81,10.0,0.71,0.0,16.68,1.51,7.75,11.22亿,8.86亿,69.18亿,35.15,"标普道琼斯A股,人工智能,参股银行,芯片概念,融资融券,5G,参股券商,创投,金改"
000937,冀中能源,6.84,-1.86,-0.13,-0.15,1.06,1.21,2.15,2.13亿,29.07亿,198.81亿,4.55,"国企改革,年报预增,煤化工,煤炭概念,标普道琼斯A股,MSCI概念,雄安新区,深股通,融资融券"
000938,紫光股份,29.29,1.07,0.31,0.38,1.61,0.74,4.35,13.26亿,28.60亿,837.72亿,38.82,"共封装光学（CPO）,国资云,东数西算（算力）,WiFi 6,网络安全,机器人概念,云计算,标普道琼斯A股,国产操作系统,MSCI概念,人工智能,智能交通,深股通,芯片概念,融资融券,5G,大数据,物联网,参股新三板"
000948,南天信息,22.67,1.11,0.25,-0.04,4.24,0.49,3.7,3.20亿,3.35亿,75.83亿,137.62,"国企改革,信创,疫情监测,国资云,电子身份证,跨境支付（CIPS）,数据安全,元宇宙,NFT概念,碳中和,数据中心,网络安全,ETC,智慧政务,在线教育,云计算,区块链,人工智能,数字货币,深股通,国产软件,医疗器械概念,华为概念,信托概念,机器视觉,人脸识别,融资融券,大数据,智慧城市,移动支付,物联网,参股新三板,军工,创投,数字经济"
000949,新乡化纤,3.41,0.89,0.03,0.0,0.52,0.57,1.18,0.25亿,14.03亿,47.85亿,--,"国企改革,深股通"
000950,重药控股,5.58,2.38,0.13,0.18,1.23,1.13,3.12,1.18亿,17.28亿,96.43亿,9.36,"国企改革,基因测序,医美概念,辅助生殖,标普道琼斯A股,超级真菌,互联网医疗,深股通,医药电商,医疗器械概念,养老概念,冷链物流,融资融券,生物医药"
000951,中国重汽,16.89,1.2,0.2,0.12,1.14,0.91,5.87,2.27亿,11.75亿,198.42亿,92.85,"国企改革,氢能源,标普道琼斯A股,MSCI概念,燃料电池,深股通,无人驾驶,冷链物流,融资融券,新能源汽车"
000952,广济药业,7.7,1.99,0.15,0.26,0.77,0.65,2.12,0.18亿,3.06亿,23.60亿,102.69,"国企改革,生物医药,流感"
000953,河化股份,5.76,1.77,0.1,-0.35,0.8,1.02,2.47,0.17亿,3.66亿,21.09亿,--,"新冠特效药,新冠治疗,壳资源,化肥"
000955,欣龙控股,5.02,2.24,0.11,0.2,0.99,0.61,2.65,0.27亿,5.38亿,26.99亿,--,"自由贸易港,军民融合,民营医院,健康中国,海南自贸区,医疗器械概念,口罩,创投"
000957,中通客车,10.84,1.59,0.17,0.0,2.66,1.27,2.81,1.71亿,5.93亿,64.27亿,110.47,"国企改革,方舱医院,中俄贸易概念,燃料电池,深股通,无人驾驶,融资融券,新能源汽车"
000958,电投产融,4.29,0.23,0.01,0.0,0.18,0.64,0.7,0.41亿,53.83亿,230.94亿,16.84,"国企改革,央企国企改革,绿色电力,期货概念,雄安新区,深股通,光伏概念,融资融券,风电,京津冀一体化"
000959,首钢股份,3.81,0.53,0.02,0.0,0.33,1.37,1.05,0.76亿,60.13亿,229.11亿,12.56,"国企改革,北交所概念,特斯拉,标普道琼斯A股,雄安新区,深股通,融资融券,京津冀一体化,创投"
000960,锡业股份,14.86,0.07,0.01,0.0,0.95,0.51,2.29,2.33亿,16.46亿,244.57亿,13.63,"国企改革,金属铅,标普道琼斯A股,债转股(AMC概念),深股通,金属铜,融资融券,小金属概念,稀缺资源"
000961,中南建设,2.03,1.5,0.03,0.0,1.43,1.34,4.0,1.11亿,38.11亿,77.36亿,--,"机器人概念,参股保险,标普道琼斯A股,区块链,深股通,PPP概念,养老概念,融资融券"
000962,东方钽业,11.77,3.7,0.42,0.0,2.47,2.75,7.4,1.29亿,4.41亿,51.89亿,28.93,"超导概念,国企改革,央企国企改革,年报预增,新材料概念,超级电容,小金属概念,稀缺资源"
000963,华东医药,46.34,-1.05,-0.49,0.0,0.71,1.48,3.95,5.85亿,17.50亿,810.81亿,30.77,"证金持股,创新药,肝炎概念,医美概念,标普道琼斯A股,MSCI概念,深股通,医药电商,医疗器械概念,冷链物流,融资融券,生物医药"
000965,天保基建,4.14,0.24,0.01,0.24,1.06,0.66,1.45,0.49亿,11.10亿,45.95亿,197.17,"国企改革,物业管理,大飞机,雄安新区,深股通,天津自贸区,融资融券,京津冀一体化,参股券商"
000966,长源电力,4.7,0.64,0.03,0.0,0.84,0.86,1.5,0.52亿,13.08亿,61.47亿,37.30,"国企改革,央企国企改革,超超临界发电,绿色电力,抽水蓄能,碳中和,碳交易,深股通,光伏概念,融资融券,风电,创投"
000967,盈峰环境,5.29,1.73,0.09,0.57,0.24,1.2,2.31,0.40亿,31.78亿,168.10亿,24.11,"机器人概念,节能环保,垃圾分类,分拆上市意愿,特色小镇,深股通,PPP概念,融资融券,充电桩,固废处理,污水处理,智能电网,核电,新能源汽车"
000968,蓝焰控股,7.97,-0.25,-0.02,0.0,0.59,0.61,1.5,0.46亿,9.68亿,77.11亿,12.59,"国企改革,俄乌冲突概念,年报预增,天然气,标普道琼斯A股,深股通,融资融券"
000969,安泰科技,9.15,1.44,0.13,0.11,1.65,1.0,2.66,1.54亿,10.26亿,93.85亿,41.25,"国企改革,央企国企改革,比亚迪概念,新材料概念,中芯国际概念,光刻胶,无线充电,氢能源,3D打印,节能环保,第三代半导体,标普道琼斯A股,燃料电池,深股通,航空发动机,华为概念,一带一路,小米概念,融资融券,5G,小金属概念,碳纤维,稀土永磁,京津冀一体化,军工,创投,核电,苹果概念"
000970,中科三环,13.1,0.46,0.06,0.0,1.42,1.03,1.61,2.26亿,12.16亿,159.26亿,18.78,"国企改革,央企国企改革,年报预增,新材料概念,节能环保,特斯拉,标普道琼斯A股,深股通,融资融券,小金属概念,中字头股票,风电,稀土永磁,苹果概念"
000971,ST高升,1.82,0.55,0.01,0.0,0.44,0.33,1.66,0.07亿,8.43亿,15.34亿,--,"云计算,ST板块,大数据,京津冀一体化"
000972,ST中基,3.71,-0.8,-0.03,0.0,1.22,1.33,3.48,0.35亿,7.71亿,28.61亿,109.7,"国企改革,医疗器械概念,ST板块,新疆振兴"
000973,佛塑科技,4.81,0.84,0.04,0.21,0.77,0.73,1.68,0.36亿,9.67亿,46.53亿,34.11,"抗病毒面料,证金持股,国企改革,新材料概念,煤化工,OLED,跨境电商,口罩,融资融券,锂电池,特高压,参股新三板"
000975,银泰黄金,13.17,3.86,0.49,0.0,1.58,1.29,3.15,5.04亿,24.46亿,322.16亿,32.52,"金属铅,标普道琼斯A股,MSCI概念,深股通,金属锌,融资融券,小金属概念,黄金概念"
000976,华铁股份,3.78,-0.26,-0.01,-0.26,0.56,0.76,1.32,0.34亿,15.95亿,60.27亿,14.64,"标普道琼斯A股,深股通,高铁,融资融券,锂电池,新能源汽车"
000977,浪潮信息,35.1,1.68,0.58,-0.03,7.76,0.55,4.9,39.36亿,14.62亿,513.11亿,24.92,"国企改革,AIGC概念,信创,国资云,东数西算（算力）,抖音概念,元宇宙,数据中心,云计算,标普道琼斯A股,国产操作系统,边缘计算,MSCI概念,人工智能,深股通,国产软件,百度概念,融资融券,智慧城市,军工"
000978,桂林旅游,8.68,0.81,0.07,0.0,5.83,1.47,3.14,1.81亿,3.60亿,31.25亿,--,"国企改革,在线旅游,腾讯概念"
000980,众泰汽车,3.58,1.42,0.05,-0.28,1.29,0.98,3.68,1.97亿,42.76亿,153.09亿,--,"标普道琼斯A股,深股通,摘帽,新能源汽车"
000981,山子股份,1.8,0.0,0.0,0.0,0.4,0.81,1.11,0.40亿,55.80亿,100.44亿,80.43,"减速器,物业管理,深股通,跨境电商,摘帽,高端装备,物联网,新能源汽车"
000982,中银绒业,1.66,-0.6,-0.01,-0.6,0.45,0.61,0.6,0.32亿,42.62亿,70.75亿,719.40,"换电概念,新材料概念,储能,新冠检测,深股通,融资融券,锂电池"
000983,山西焦煤,10.99,-0.81,-0.09,0.0,1.02,0.84,2.35,4.62亿,40.97亿,450.21亿,5.17,"国企改革,年报预增,煤炭概念,标普道琼斯A股,MSCI概念,深股通,融资融券"
000985,大庆华科,16.5,-1.08,-0.18,-0.06,1.79,0.78,3.18,0.38亿,1.30亿,21.39亿,72.18,"国企改革,央企国企改革,黑龙江自贸区"
000987,越秀资本,6.59,0.61,0.04,-0.15,0.32,0.95,2.14,1.07亿,50.17亿,330.59亿,13.18,"国企改革,期货概念,标普道琼斯A股,新零售,独角兽概念,MSCI概念,债转股(AMC概念),深股通,粤港澳大湾区,融资融券,参股券商,创投"
000988,华工科技,25.41,5.48,1.32,0.0,5.7,1.44,7.47,14.38亿,10.05亿,255.37亿,28.20,"共封装光学（CPO）,国企改革,F5G概念,比亚迪概念,高压快充,新材料概念,传感器,机器人概念,3D打印,工业4.0,健康中国,特斯拉,标普道琼斯A股,柔性屏,独角兽概念,MSCI概念,深股通,汽车电子,华为概念,芯片概念,融资融券,5G,量子科技,充电桩,智慧城市,物联网,创投,苹果概念,新能源汽车"
000989,九芝堂,12.28,6.41,0.74,0.41,8.47,1.82,10.83,6.76亿,6.58亿,80.80亿,20.14,"毛发医疗,新冠治疗,标普道琼斯A股,深股通,医药电商,融资融券"
000990,诚志股份,9.03,0.0,0.0,-0.11,0.39,0.67,1.11,0.43亿,12.15亿,109.74亿,207.52,"POE胶膜,国企改革,新冠治疗,碳中和,氢能源,民营医院,OLED,医美概念,NMN概念,标普道琼斯A股,分拆上市意愿,人造肉,燃料电池,深股通,工业大麻,小米概念,融资融券"
000993,闽东电力,10.04,0.0,0.0,-0.1,0.56,0.85,0.9,0.25亿,4.40亿,44.15亿,24.99,"国企改革,绿色电力,碳中和,碳交易,债转股(AMC概念),深股通,福建自贸区,光伏概念,航运概念,融资融券,风电,智能电网,创投"
000995,*ST皇台,16.84,-1.46,-0.25,-0.06,0.8,0.92,1.52,0.24亿,1.77亿,29.88亿,609.22,"白酒概念,ST板块"
000996,中国中期,6.92,1.47,0.1,-0.14,1.84,0.81,2.2,0.44亿,3.45亿,23.87亿,15445.50,"期货概念,融资融券"
000997,新大陆,16.74,1.7,0.28,0.0,0.92,0.93,4.01,1.56亿,10.26亿,171.81亿,34.81,"证金持股,华为鲲鹏,电子身份证,鸿蒙概念,食品安全,安防,数字乡村,ETC,互联网金融,标普道琼斯A股,边缘计算,无人零售,MSCI概念,人工智能,数字货币,智能交通,深股通,华为概念,人脸识别,芯片概念,融资融券,乡村振兴,大数据,智慧城市,电子商务,移动支付,物联网,参股新三板,网络游戏"
000998,隆平高科,16.58,1.53,0.25,0.0,1.13,1.02,2.27,2.42亿,12.96亿,214.87亿,--,"国企改革,央企国企改革,粮食概念,俄乌冲突概念,农业种植,生态农业,转基因,标普道琼斯A股,MSCI概念,深股通,玉米,融资融券,乡村振兴,电子商务,参股新三板"
000999,华润三九,57.45,3.55,1.97,0.28,1.09,1.04,5.84,6.15亿,9.78亿,562.09亿,23.19,"国企改革,央企国企改革,创新药,禽流感,健康中国,标普道琼斯A股,深股通,口罩,融资融券,流感"
001201,东瑞股份,30.18,2.38,0.7,0.0,2.88,2.56,3.12,0.92亿,1.05亿,31.80亿,972.96,"猪肉,深股通"
001202,炬申股份,14.94,0.54,0.08,-0.07,2.95,1.0,1.95,0.18亿,0.40亿,6.01亿,48.15,"统一大市场,一带一路,新疆振兴"
001203,大中矿业,11.98,0.93,0.11,-0.08,1.05,0.72,1.85,0.55亿,4.36亿,52.22亿,18.50,"深股通,锂电池,创投"
001205,盛航股份,22.4,1.82,0.4,0.09,1.92,0.82,2.55,0.50亿,1.17亿,26.13亿,22.66,航运概念
001206,依依股份,24.75,-0.64,-0.16,0.08,2.03,1.1,1.45,0.32亿,0.64亿,15.85亿,21.71,"宠物经济,人民币贬值受益,口罩,三胎概念,电子商务,京津冀一体化"
001208,华菱线缆,10.18,0.59,0.06,-0.1,0.72,0.43,0.79,0.18亿,2.50亿,25.41亿,48.84,"国企改革,专精特新,深股通,光伏概念,高端装备,充电桩,风电,特高压,军工"
001209,洪兴股份,14.6,1.6,0.23,0.0,2.33,0.82,2.23,0.14亿,0.40亿,5.88亿,440.20,"网络直播,跨境电商,粤港澳大湾区,三胎概念,电子商务,数字经济"
001210,金房节能,23.8,0.68,0.16,0.13,0.71,0.94,1.9,0.07亿,0.43亿,10.30亿,23.93,"节能环保,建筑节能"
001211,双枪科技,22.3,-0.31,-0.07,0.14,1.01,1.04,1.3,0.09亿,0.39亿,8.79亿,232.05,"露营经济,新零售,跨境电商,三胎概念,电子商务"
001212,中旗新材,32.44,4.48,1.39,0.0,9.12,1.51,5.96,1.64亿,0.56亿,18.08亿,42.97,"有机硅概念,新材料概念,装配式建筑,粤港澳大湾区"
001213,中铁特货,4.46,0.45,0.02,-0.22,1.12,0.55,0.68,0.52亿,10.44亿,46.58亿,30.68,"国企改革,央企国企改革,统一大市场,深股通,一带一路,冷链物流,中字头股票"
001215,千味央厨,76.0,-1.76,-1.36,0.01,1.96,0.92,5.11,0.68亿,0.45亿,34.37亿,70.87,"预制菜,深股通"
001216,华瓷股份,12.88,0.39,0.05,0.0,2.18,0.37,1.25,0.18亿,0.63亿,8.11亿,19.00,"柔性直流输电,NFT概念,牙科医疗,人民币贬值受益,杭州亚运会,参股银行,特高压"
001217,华尔泰,12.32,0.82,0.1,0.16,0.78,0.52,1.39,0.13亿,1.33亿,16.38亿,18.61,"煤化工,化肥"
001218,丽臣实业,22.1,1.56,0.34,0.0,1.13,0.8,2.53,0.17亿,0.70亿,15.48亿,26.95,消毒剂
001219,青岛食品,22.68,-0.18,-0.04,0.0,3.04,1.06,3.26,0.40亿,0.58亿,13.17亿,28.62,"国企改革,新零售,三胎概念,电子商务"
001222,源飞宠物,24.78,1.1,0.27,0.04,2.28,1.0,1.47,0.19亿,0.34亿,8.45亿,18.32,"新股与次新股,共同富裕示范区,核准制次新股,宠物经济,新零售,人民币贬值受益,跨境电商,一带一路,电子商务"
001223,欧克科技,71.92,-4.09,-3.07,0.06,15.21,2.03,5.97,1.87亿,0.17亿,12.00亿,21.27,"新股与次新股,专精特新,核准制次新股,深股通,锂电池"
001225,和泰机电,50.23,0.7,0.35,-0.04,3.22,0.57,1.04,0.26亿,0.16亿,8.12亿,14.71,"新股与次新股,核准制次新股,水泥概念,一带一路"
001226,拓山重工,29.46,0.41,0.12,-0.03,1.85,0.46,1.23,0.10亿,0.19亿,5.50亿,34.52,"新股与次新股,专精特新,核准制次新股"
001227,兰州银行,3.14,0.0,0.0,0.0,0.74,0.72,1.59,0.64亿,27.68亿,86.91亿,9.96,深股通
001228,永泰运,50.74,4.06,1.98,0.0,7.9,1.73,4.55,1.03亿,0.26亿,13.18亿,16.11,"统一大市场,新股与次新股,年报预增,共同富裕示范区,工业互联网,深股通,跨境电商"
