基金代码,基金简称,发行公司,基金类型,集中认购期,募集份额,成立日期,成立来涨幅,基金经理,申购状态,优惠费率
009381,汇安核心资产混合A,汇安基金,混合型-偏股,20/05/25～20/06/11,23.76,2020-06-16,-13.53,"朱晨歌,陈欣",开放申购,0.15
009382,汇安核心资产混合C,汇安基金,混合型-偏股,20/05/25～20/06/11,23.76,2020-06-16,-14.74,"朱晨歌,陈欣",开放申购,0.0
009515,中欧真益稳健一年混合A,中欧基金,混合型-偏债,20/05/25～20/05/29,18.73,2020-06-04,6.39,胡琼予,开放申购,0.06
009516,中欧真益稳健一年混合C,中欧基金,混合型-偏债,20/05/25～20/05/29,18.73,2020-06-04,4.58,胡琼予,开放申购,0.0
009481,国泰宏益一年持有期混合A,国泰基金,混合型-偏债,20/05/25～20/05/26,6.1,2020-06-01,18.51,樊利安,开放申购,0.12
009482,国泰宏益一年持有期混合C,国泰基金,混合型-偏债,20/05/25～20/05/26,6.1,2020-06-01,16.51,樊利安,开放申购,0.0
009147,建信新能源行业股票A,建信基金,股票型,20/05/22～20/06/12,3.31,2020-06-17,85.17,"陶灿,田元泉,张湘龙",开放申购,0.15
015048,建信新能源行业股票C,建信基金,股票型,20/05/22～20/06/12,,2022-01-27,-25.14,"陶灿,田元泉,张湘龙",开放申购,0.0
008872,大成睿裕六月持有股票C,大成基金,股票型,20/05/20～20/06/02,7.04,2020-06-05,24.64,"刘旭,朱倩",开放申购,0.0
008871,大成睿裕六月持有股票A,大成基金,股票型,20/05/20～20/06/02,7.04,2020-06-05,26.78,"刘旭,朱倩",开放申购,0.15
008492,万家周期优势企业混合C,万家基金,混合型-偏股,20/05/19～20/08/14,2.31,2020-08-18,12.83,刘洋,开放申购,0.0
008491,万家周期优势企业混合A,万家基金,混合型-偏股,20/05/19～20/08/14,2.31,2020-08-18,14.21,刘洋,开放申购,0.15
005413,金信民长混合C,金信基金,混合型-灵活,20/05/19～20/05/19,2.01,2020-05-21,82.76,刘榕俊,开放申购,0.0
005412,金信民长混合A,金信基金,混合型-灵活,20/05/19～20/05/19,2.01,2020-05-21,92.61,刘榕俊,开放申购,0.08
008563,银河臻优稳健配置混合A,银河基金,混合型-偏债,20/05/18～20/08/17,2.59,2020-08-21,9.59,"何晶,石磊",开放申购,0.08
008564,银河臻优稳健配置混合C,银河基金,混合型-偏债,20/05/18～20/08/17,2.59,2020-08-21,9.28,"何晶,石磊",开放申购,0.0
009380,富安达科技领航混合,富安达基金,混合型-偏股,20/05/18～20/06/12,6.89,2020-06-17,-32.83,路旭,开放申购,0.15
009360,招商创新增长混合A,招商基金,混合型-偏股,20/05/18～20/06/12,44.32,2020-06-17,-14.82,李佳存,开放申购,0.15
009361,招商创新增长混合C,招商基金,混合型-偏股,20/05/18～20/06/12,44.32,2020-06-17,-16.71,李佳存,开放申购,0.0
009234,鹏华优质企业混合,鹏华基金,混合型-偏股,20/05/18～20/06/05,17.6,2020-06-11,-0.91,柳黎,开放申购,0.15
007705,长城恒康稳健养老一年持有混合发起式(FOF)A,长城基金,FOF,20/05/18～20/05/29,5.73,2020-06-03,0.07,徐力恒,开放申购,0.12
009402,交银启明混合A,交银施罗德基,混合型-偏股,20/05/18～20/05/21,47.9,2020-05-27,57.07,刘鹏,开放申购,0.15
013883,交银启明混合C,交银施罗德基,混合型-偏股,20/05/18～20/05/21,,2021-11-12,-12.14,刘鹏,开放申购,0.0
900090,中信卓越成长两年持有混合B,中信证券,混合型-偏股,20/05/18～20/05/18,,2020-06-01,18.18,魏来,开放申购,0.15
900100,中信卓越成长两年持有混合C,中信证券,混合型-偏股,20/05/18～20/05/18,,2020-06-01,15.84,魏来,开放申购,0.0
900030,中信证券量化优选C,中信证券,股票型,20/05/18～20/05/18,,2020-05-22,13.47,魏孛,开放申购,0.0
009546,博时鑫荣稳健混合C,博时基金,混合型-偏债,20/05/15～20/06/30,2.35,2020-07-03,14.34,"于冰,邓欣雨",开放申购,0.0
009545,博时鑫荣稳健混合A,博时基金,混合型-偏债,20/05/15～20/06/30,2.35,2020-07-03,14.69,"于冰,邓欣雨",开放申购,0.04
008586,华夏中证人工智能主题ETF联接C,华夏基金,指数型-股票,20/05/15～20/06/11,8.64,2020-06-16,-5.04,李俊,开放申购,0.0
008585,华夏中证人工智能主题ETF联接A,华夏基金,指数型-股票,20/05/15～20/06/11,8.64,2020-06-16,-4.24,李俊,开放申购,0.12
008617,国寿安保稳健养老一年持有混合发起式(FOF)A,国寿安保基金,FOF,20/05/13～20/06/12,2.69,2020-06-17,3.24,"张志雄,龙南质",开放申购,0.08
009199,万家价值优势一年持有期混合,万家基金,混合型-偏股,20/05/13～20/05/26,33.76,2020-05-29,59.99,莫海波,开放申购,0.15
008415,国泰大制造两年持有期混合,国泰基金,混合型-偏股,20/05/13～20/05/26,17.95,2020-05-29,12.71,程洲,开放申购,0.15
009043,九泰久信量化股票,九泰基金,股票型,20/05/13～20/05/14,3.86,2020-05-20,9.25,孟亚强,开放申购,0.15
008445,融通产业趋势先锋股票,融通基金,股票型,20/05/12～20/05/27,16.62,2020-06-01,35.63,刘安坤,开放申购,0.15
011945,汇添富稳健增益一年持有混合C,汇添富基金,混合型-偏债,20/05/12～20/05/18,,2021-04-06,-1.15,"赵鹏飞,刘伟林,甘信宇",开放申购,0.0
009536,汇添富稳健增益一年持有混合A,汇添富基金,混合型-偏债,20/05/12～20/05/18,31.24,2020-05-22,3.39,"赵鹏飞,刘伟林,甘信宇",开放申购,0.08
009263,华宝红利精选混合A,华宝基金,混合型-偏股,20/05/11～20/05/29,4.59,2020-06-03,26.2,唐雪倩,开放申购,0.15
010841,华宝红利精选混合C,华宝基金,混合型-偏股,20/05/11～20/05/29,,2020-12-02,2.67,唐雪倩,开放申购,0.0
009424,招商瑞信稳健配置混合C,招商基金,混合型-偏债,20/05/11～20/05/28,28.08,2020-06-02,13.09,"余芽芳,王垠",开放申购,0.0
009423,招商瑞信稳健配置混合A,招商基金,混合型-偏债,20/05/11～20/05/28,28.08,2020-06-02,14.71,"余芽芳,王垠",开放申购,0.1
009211,中欧嘉和三年混合C,中欧基金,混合型-偏股,20/05/11～20/05/22,13.58,2020-05-28,16.47,王健,限大额,0.0
009210,中欧嘉和三年混合A,中欧基金,混合型-偏股,20/05/11～20/05/22,13.58,2020-05-28,17.8,王健,限大额,1.5
