,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率,概念
16,002583,海能达,6.74,1.35,0.09,0.15,2.66,0.88,3.46,2.17亿,12.27亿,82.72亿,26.02,6G概念
17,600288,大恒科技,13.54,1.35,0.18,0.0,1.46,0.81,2.47,0.85亿,4.37亿,59.14亿,53.71,6G概念
18,300136,信维通信,20.92,1.31,0.27,0.0,3.35,1.01,4.02,5.69亿,8.24亿,172.29亿,25.25,6G概念
19,000547,航天发展,11.25,1.08,0.12,0.09,1.57,0.76,2.07,2.77亿,15.86亿,178.38亿,73.58,6G概念
20,301289,国缆检测,44.3,1.03,0.45,0.0,3.54,0.66,2.21,0.23亿,0.15亿,6.64亿,39.55,6G概念
21,831961,创远信科,10.46,0.77,0.08,0.0,0.1,0.38,1.73,0.01亿,1.03亿,10.82亿,64.78,6G概念
22,688387,信科移动,6.58,0.77,0.05,0.15,4.53,0.46,2.91,1.44亿,4.84亿,31.82亿,--,6G概念
23,002093,国脉科技,8.5,0.59,0.05,0.0,3.51,0.84,3.9,2.95亿,10.04亿,85.32亿,138.85,6G概念
24,600487,亨通光电,15.1,0.47,0.07,0.0,2.05,0.55,2.4,7.58亿,24.67亿,372.48亿,19.68,6G概念
25,601698,中国卫通,21.22,0.38,0.08,0.0,1.55,0.58,4.3,13.09亿,40.00亿,848.80亿,127.74,6G概念
26,002579,中京电子,11.11,0.27,0.03,0.09,2.42,0.55,0.99,1.56亿,5.82亿,64.67亿,--,6G概念
27,002886,沃特股份,17.65,0.17,0.03,0.0,1.22,0.45,1.14,0.37亿,1.72亿,30.29亿,141.42,6G概念
28,600522,中天科技,17.09,0.12,0.02,0.06,2.81,0.42,2.17,16.31亿,34.13亿,583.27亿,17.71,6G概念
29,002897,意华股份,46.81,0.02,0.01,0.02,2.71,0.77,2.8,2.01亿,1.58亿,74.18亿,26.09,6G概念
30,688375,国博电子,87.6,-0.34,-0.3,0.03,3.0,0.71,1.98,0.84亿,0.32亿,28.11亿,67.31,6G概念
31,600118,中国卫星,28.47,-0.35,-0.1,0.0,2.58,0.72,2.94,8.60亿,11.82亿,336.65亿,117.80,6G概念
32,300322,硕贝德,9.58,-0.62,-0.06,-0.1,4.22,1.06,3.32,1.75亿,4.39亿,42.09亿,--,6G概念
33,300123,亚光科技,7.71,-1.53,-0.12,0.0,4.15,0.73,2.94,3.13亿,9.88亿,76.14亿,--,6G概念
34,002796,世嘉科技,12.3,-1.99,-0.25,0.0,10.15,0.9,2.79,2.86亿,2.32亿,28.52亿,--,6G概念
35,002436,兴森科技,12.29,-2.31,-0.29,0.08,3.93,0.98,2.94,7.26亿,15.00亿,184.39亿,39.50,6G概念
36,300045,华力创通,9.81,-3.25,-0.33,0.0,5.78,0.56,3.85,2.79亿,4.93亿,48.34亿,--,6G概念
37,300964,本川智能,56.05,-3.91,-2.28,0.04,27.61,0.92,9.04,5.02亿,0.33亿,18.45亿,86.33,6G概念
0,000409,云鼎科技,9.84,7.42,0.68,0.1,11.0,0.67,7.86,4.48亿,4.23亿,41.66亿,291.67,时空大数据
1,002383,合众思壮,7.41,5.11,0.36,0.0,5.43,1.22,4.68,2.26亿,5.71亿,42.31亿,241.30,时空大数据
2,301248,杰创智能,38.44,4.12,1.52,0.0,19.58,0.87,4.5,1.80亿,0.24亿,9.22亿,60.86,时空大数据
3,300287,飞利信,4.4,3.77,0.16,-0.23,6.58,1.29,6.84,3.63亿,12.84亿,56.51亿,--,时空大数据
4,300044,赛为智能,4.84,3.64,0.17,0.0,8.23,0.57,4.71,2.62亿,6.69亿,32.39亿,--,时空大数据
5,002405,四维图新,13.53,3.6,0.47,-0.07,2.59,0.69,5.36,7.95亿,23.00亿,311.18亿,--,时空大数据
6,603660,苏州科达,7.09,3.5,0.24,0.14,3.59,0.73,4.96,1.24亿,4.94亿,35.04亿,--,时空大数据
7,002465,海格通信,10.5,3.04,0.31,-0.1,1.29,1.06,4.42,3.02亿,22.53亿,236.59亿,36.21,时空大数据
8,002771,真视通,13.94,2.95,0.4,0.07,7.14,0.57,3.91,1.67亿,1.69亿,23.63亿,--,时空大数据
9,603559,中通国脉,12.91,2.87,0.36,0.08,4.8,0.92,3.75,0.88亿,1.43亿,18.50亿,--,时空大数据
10,300365,恒华科技,8.62,2.62,0.22,0.12,3.31,0.95,5.24,1.22亿,4.35亿,37.46亿,--,时空大数据
11,300456,赛微电子,17.85,2.53,0.44,0.06,3.66,1.02,2.53,3.77亿,5.84亿,104.25亿,--,时空大数据
12,300047,天源迪科,8.13,2.52,0.2,-0.12,9.27,0.64,5.3,3.96亿,5.35亿,43.52亿,159.11,时空大数据
13,301178,天亿马,35.84,2.46,0.86,0.0,10.14,0.58,4.63,1.56亿,0.44亿,15.63亿,295.70,时空大数据
14,300523,辰安科技,25.45,2.46,0.61,0.08,1.68,0.86,3.83,0.98亿,2.32亿,58.97亿,223.41,时空大数据
15,300324,旋极信息,3.37,2.43,0.08,-0.3,2.57,0.92,4.86,1.44亿,16.96亿,57.16亿,--,时空大数据
16,300350,华鹏飞,5.1,2.0,0.1,0.2,1.53,0.77,2.6,0.36亿,4.67亿,23.83亿,--,时空大数据
17,688568,中科星图,78.56,1.88,1.45,0.0,1.25,0.83,4.51,1.26亿,1.32亿,103.61亿,79.26,时空大数据
18,600476,湘邮科技,18.72,1.74,0.32,-0.11,5.07,0.68,4.4,1.51亿,1.61亿,30.15亿,--,时空大数据
19,300603,立昂技术,13.5,1.66,0.22,0.0,8.32,0.49,3.39,2.83亿,2.53亿,34.19亿,101.30,时空大数据
20,002298,中电兴发,7.53,1.35,0.1,0.0,3.84,0.69,3.77,1.75亿,6.12亿,46.06亿,31.94,时空大数据
21,300177,中海达,7.27,1.11,0.08,0.14,2.06,0.68,3.06,0.89亿,6.06亿,44.07亿,1554.24,时空大数据
22,000925,众合科技,8.78,1.04,0.09,0.0,3.15,0.75,2.76,1.50亿,5.47亿,48.06亿,83.03,时空大数据
23,301091,深城交,26.16,1.0,0.26,0.0,2.97,0.55,3.09,0.75亿,0.97亿,25.31亿,98.20,时空大数据
24,688509,正元地信,5.04,1.0,0.05,-0.2,2.14,0.85,2.81,0.40亿,3.76亿,18.97亿,134.94,时空大数据
25,301136,招标股份,14.09,0.93,0.13,0.07,2.1,0.47,1.5,0.31亿,1.04亿,14.64亿,80.74,时空大数据
26,600868,梅雁吉祥,2.83,0.71,0.02,0.0,0.51,0.31,1.42,0.27亿,18.98亿,53.72亿,88.83,时空大数据
27,301221,光庭信息,46.75,0.62,0.29,0.04,2.27,0.51,3.12,0.46亿,0.43亿,20.25亿,--,时空大数据
28,300036,超图软件,23.4,0.6,0.14,0.26,3.46,0.62,3.74,3.42亿,4.29亿,100.49亿,--,时空大数据
29,300588,熙菱信息,12.4,0.49,0.06,-0.08,11.91,0.82,3.32,2.00亿,1.36亿,16.91亿,--,时空大数据
30,300397,天和防务,11.2,0.36,0.04,0.0,1.81,0.51,1.52,0.81亿,4.01亿,44.87亿,--,时空大数据
31,300732,设研院,10.28,0.2,0.02,0.1,1.51,0.47,1.66,0.50亿,3.22亿,33.15亿,13.43,时空大数据
32,300101,振芯科技,29.39,0.03,0.01,0.0,1.45,0.92,2.55,2.36亿,5.62亿,165.29亿,58.42,时空大数据
33,688070,纵横股份,44.15,-0.07,-0.03,0.2,0.66,0.45,3.01,0.11亿,0.38亿,16.94亿,--,时空大数据
34,300826,测绘股份,14.15,-1.19,-0.17,0.14,4.49,0.47,1.89,0.43亿,0.67亿,9.48亿,52.45,时空大数据
35,300053,欧比特,10.44,-1.51,-0.16,0.39,6.42,0.56,4.53,4.18亿,6.32亿,65.99亿,--,时空大数据
36,300045,华力创通,9.81,-3.25,-0.33,0.0,5.78,0.56,3.85,2.79亿,4.93亿,48.34亿,--,时空大数据
0,600839,四川长虹,4.71,10.05,0.43,0.0,16.23,1.19,9.81,33.72亿,46.15亿,217.37亿,72.10,毫米波雷达
1,688522,纳睿雷达,65.41,4.36,2.73,-0.09,14.03,1.33,5.86,3.28亿,0.36亿,23.41亿,95.48,毫米波雷达
2,002284,亚太股份,8.02,3.08,0.24,0.13,1.97,2.42,3.34,1.08亿,6.86亿,55.05亿,88.73,毫米波雷达
3,002373,千方科技,13.45,2.59,0.34,0.07,1.95,0.48,4.81,3.55亿,13.74亿,184.74亿,--,毫米波雷达
4,002792,通宇通讯,15.18,2.22,0.33,0.0,7.92,0.82,5.25,2.87亿,2.42亿,36.68亿,67.20,毫米波雷达
5,002590,万安科技,9.43,2.17,0.2,0.11,1.8,1.37,1.95,0.77亿,4.56亿,42.96亿,64.19,毫米波雷达
6,300432,富临精工,13.96,2.05,0.28,0.0,1.34,1.38,3.58,2.24亿,11.88亿,165.91亿,21.28,毫米波雷达
7,300644,南京聚隆,17.2,1.83,0.31,0.12,2.05,0.89,2.66,0.30亿,0.85亿,14.62亿,48.40,毫米波雷达
8,002463,沪电股份,21.49,1.66,0.35,-0.05,4.7,0.69,6.53,18.77亿,18.96亿,407.51亿,29.95,毫米波雷达
9,002156,通富微电,22.2,1.65,0.36,0.0,4.19,0.62,2.56,12.32亿,13.29亿,295.01亿,66.92,毫米波雷达
10,300742,越博动力,8.64,1.65,0.14,0.0,5.01,0.57,2.35,0.49亿,1.12亿,9.71亿,--,毫米波雷达
11,002413,雷科防务,5.2,1.56,0.08,0.19,1.8,1.01,1.95,1.17亿,12.51亿,65.03亿,--,毫米波雷达
12,002881,美格智能,33.47,1.52,0.5,-0.06,2.03,0.49,2.67,1.08亿,1.61亿,53.91亿,53.50,毫米波雷达
13,002446,盛路通信,9.95,1.43,0.14,0.0,3.61,0.54,2.14,3.00亿,8.43亿,83.92亿,35.46,毫米波雷达
14,002456,欧菲光,5.3,1.34,0.07,0.19,0.7,0.59,2.29,1.19亿,32.39亿,171.67亿,--,毫米波雷达
15,603211,晋拓股份,16.75,1.33,0.22,0.0,26.6,1.71,5.45,3.03亿,0.68亿,11.38亿,65.02,毫米波雷达
16,002970,锐明技术,25.16,1.33,0.33,0.08,1.52,0.69,2.09,0.41亿,1.08亿,27.12亿,--,毫米波雷达
17,300862,蓝盾光电,27.45,1.25,0.34,0.15,0.81,0.89,2.36,0.19亿,0.86亿,23.57亿,52.06,毫米波雷达
18,300671,富满微,54.95,1.08,0.59,0.15,7.05,1.52,5.89,8.50亿,2.17亿,119.25亿,121.28,毫米波雷达
19,002414,高德红外,12.09,0.83,0.1,0.0,0.47,0.51,1.25,1.48亿,26.14亿,316.02亿,56.52,毫米波雷达
20,000823,超声电子,11.3,0.8,0.09,0.0,1.37,0.68,2.85,0.82亿,5.37亿,60.67亿,15.33,毫米波雷达
21,300936,中英科技,32.45,0.59,0.19,0.0,9.3,1.01,4.22,0.78亿,0.27亿,8.62亿,68.39,毫米波雷达
22,605228,神通科技,8.87,0.57,0.05,0.11,1.21,0.59,1.36,0.10亿,0.97亿,8.61亿,83.66,毫米波雷达
23,000581,威孚高科,20.19,0.55,0.11,-0.05,0.93,0.85,2.14,1.55亿,8.24亿,166.41亿,9.87,毫米波雷达
24,605258,协和电子,25.8,0.55,0.14,-0.04,3.21,0.7,2.53,0.31亿,0.38亿,9.75亿,49.61,毫米波雷达
25,300978,东箭科技,12.06,0.5,0.06,0.0,1.39,0.65,1.67,0.22亿,1.32亿,15.92亿,51.05,毫米波雷达
26,300691,联合光电,15.91,0.38,0.06,-0.19,2.63,0.59,2.33,0.82亿,1.98亿,31.48亿,73.69,毫米波雷达
27,000510,新金路,6.39,0.31,0.02,0.0,1.2,0.42,1.26,0.44亿,5.68亿,36.33亿,407.61,毫米波雷达
28,600764,中国海防,25.64,0.31,0.08,0.0,0.54,0.84,2.78,0.98亿,7.11亿,182.21亿,59.0,毫米波雷达
29,002920,德赛西威,110.95,0.28,0.31,0.0,0.74,0.6,3.79,4.55亿,5.50亿,610.06亿,52.03,毫米波雷达
30,002579,中京电子,11.11,0.27,0.03,0.09,2.42,0.55,0.99,1.56亿,5.82亿,64.67亿,--,毫米波雷达
31,600741,华域汽车,16.74,0.18,0.03,-0.06,0.28,1.04,0.9,1.49亿,31.53亿,527.77亿,8.12,毫米波雷达
32,301050,雷电微力,75.56,0.07,0.05,0.0,1.13,0.47,1.77,1.14亿,1.34亿,101.37亿,39.92,毫米波雷达
33,002185,华天科技,10.1,0.0,0.0,-0.1,1.02,0.58,1.58,3.28亿,32.04亿,323.58亿,42.93,毫米波雷达
34,600562,国睿科技,16.32,-0.12,-0.02,-0.06,0.56,0.65,1.41,0.60亿,6.61亿,107.83亿,41.96,毫米波雷达
35,603228,景旺电子,25.6,-0.39,-0.1,-0.2,0.4,0.77,2.3,0.85亿,8.42亿,215.52亿,20.50,毫米波雷达
36,002475,立讯精密,30.31,-0.46,-0.14,-0.23,0.58,0.45,2.43,12.55亿,71.11亿,2155.36亿,25.30,毫米波雷达
37,300852,四会富仕,39.84,-0.47,-0.19,-0.08,5.24,0.8,2.82,0.74亿,0.36亿,14.18亿,18.00,毫米波雷达
38,002906,华阳集团,33.36,-0.51,-0.17,0.09,0.49,0.73,1.79,0.78亿,4.75亿,158.47亿,44.61,毫米波雷达
39,600990,四创电子,32.9,-0.54,-0.18,-0.06,1.05,0.88,3.63,0.71亿,2.07亿,68.08亿,--,毫米波雷达
40,300322,硕贝德,9.58,-0.62,-0.06,-0.1,4.22,1.06,3.32,1.75亿,4.39亿,42.09亿,--,毫米波雷达
41,688208,道通科技,31.15,-0.64,-0.2,0.23,1.8,0.74,3.22,1.83亿,3.25亿,101.10亿,133.15,毫米波雷达
42,603386,骏亚科技,12.46,-1.03,-0.13,-0.08,1.68,1.15,4.53,0.68亿,3.26亿,40.66亿,25.00,毫米波雷达
43,600183,生益科技,18.46,-1.55,-0.29,0.0,0.8,0.63,2.88,3.44亿,23.27亿,429.64亿,28.07,毫米波雷达
44,300814,中富电路,22.34,-1.59,-0.36,-0.05,9.31,0.7,3.3,1.05亿,0.51亿,11.35亿,43.29,毫米波雷达
45,301041,金百泽,22.0,-2.4,-0.54,-0.09,9.58,0.78,4.75,1.07亿,0.51亿,11.26亿,71.12,毫米波雷达
46,300045,华力创通,9.81,-3.25,-0.33,0.0,5.78,0.56,3.85,2.79亿,4.93亿,48.34亿,--,毫米波雷达
47,300964,本川智能,56.05,-3.91,-2.28,0.04,27.61,0.92,9.04,5.02亿,0.33亿,18.45亿,86.33,毫米波雷达
